id;ring_number;name;breeder;gender;birth_year;color_pattern;long_description;medium_description;short_description
1;brook tangle;savor abase;youth after;FEMALE;18745;RED_CHECKERED;../fake-data/blob/hipster.txt;clavicle;adored mammoth pfft
2;energetically;during madly;into;MALE;25332;BLUE_CHECKERED;../fake-data/blob/hipster.txt;plummet;commute woot rigidly
3;instead false;even frantically;provided;UNKNOWN;7271;YELLOW;../fake-data/blob/hipster.txt;what lead woot;real
4;noisily given usually;max;gamma-ray;FEMALE;13914;CHECKERED;../fake-data/blob/hipster.txt;until off wheedle;uh-huh however urban
5;boohoo descriptive wharf;cautiously metaphor;criticise;MALE;29721;GRIZZLE;../fake-data/blob/hipster.txt;practical picnic;justly busily wrongly
6;gee ample;steel readily;aha elementary;FEMALE;19638;BLACK_BAR;../fake-data/blob/hipster.txt;useful yippee;joyously before sluice
7;until pepper;mirror insight strictly;collectivization whisker at;MALE;16726;RED;../fake-data/blob/hipster.txt;discourse aside;while remortgage
8;ha;hovel;loyally fluffy huzzah;MALE;5595;YELLOW;../fake-data/blob/hipster.txt;rotating given however;ritualise
9;terminate flash meander;sour;um;UNKNOWN;3997;BLACK_BAR;../fake-data/blob/hipster.txt;flour;aside or against
10;duh;yippee;inasmuch;MALE;21783;PIED;../fake-data/blob/hipster.txt;during fiercely;forfend
